,annotater_id,table_id,hypothesis,label
38,GW6,T73,Maxim Kaspersky was die voorsitter van Kaspersky Lab.,E
39,GW4,T73,Eugene Kaspersky is nie in die USSR gebore nie.,C
40,GW4,T73,Eugene Kaspersky het beide sy kinders met Natalya Kaspersky gehad,N
41,GW4,T73,Eugene Kaspersky is gebore as 'n Amerikaanse burger.,E
42,GW1,T73,Eugene Kaspersky is meer as 'n miljard dollar waard.,C
43,GW1,T73,Eugene Kaspersky het altyd in Oos-Europa geleef.,N
44,GW1,T73,Eugene Kaspersky is in die herfs van 1965 gebore.,E
45,GW0,T78,Joseph Glidden is in die suidweste deel van die VSA gebore.,C
46,GW0,T78,Virgil Glidden is die oudste kind van Joseph Glidden.,N
47,GW0,T78,Joseph Glidden het Clarissa Foster sewe jaar voor Lucinda Warne getroud.,E
48,GW1,T78,“Joseph Glidden” is in die noordoos oorlede.,C
49,GW1,T78,Joseph Glidden was meer suksesvol later in die lewe as vroeër in die lewe.,N
50,GW1,T78,Joseph Glidden is in die winter van 1813 gebore.,E
51,GW4,T78,Joseph Glidden was bekend vir hul aktiewe vaardighede.,C
52,GW4,T78,Lucinda Warne was die laaste vrou wat met Joseph Glidden was.,N
53,GW4,T78,Joseph Glidden is oorlede toe hy 93 jaar oud was.,E
54,GW1,T94,John McCain is in die somer van 1936 gebore.,C
55,GW1,T94,Meghan was die naaste kind van John McCain.,N
56,GW1,T94,“John McCain” is in die somer van 2018 oorlede.,E
57,GW0,T94,John McCain het geleef om onder 80 jaar oud te wees.,C
58,GW0,T94,John McCain is in 'n militêre basis gebore.,N
59,GW0,T94,John McCain het Carol Shepp voor Cindy Hensley getroud.,E
60,GW4,T94,John McCain was bekend om in die Demokratiese Party te wees.,C
61,GW4,T94,“John McCain” het 'n broer.,N
62,GW4,T94,“John McCain” is in die somer oorlede.,E
63,GW4,T101,Chic is 'n band wat ook bekend is as die Big Orange Band.,C
64,GW4,T101,Die band Chic het twee keer in die verlede uiteengesit.,N
65,GW4,T101,"Die band Chic is bekend vir die optrede hoofsaaklik Disco, funk, R & B.",E
66,GW1,T101,Chic was oorspronklik bekend as die Big Banana Brand.,C
67,GW1,T101,Die lede van Chic verkies om musiek op die Atlantic label te maak oor die Warner Bros. label.,N
68,GW1,T101,Chic is aktief as 'n band in een of ander vorm vir minder as 40 jaar.,E
69,GW0,T101,Chic het minder as 40 jaar gelede begin optree.,C
70,GW0,T101,Chic het die meeste van hul musiek as The Big Apple Band opgeteken.,N
71,GW0,T101,Chic is onderteken aan verskeie rekords.,E
72,GW4,T111,Charles IV van Spanje en sy familie is deur Picasso geverf.,C
73,GW4,T111,Die skildery Charles IV van Spanje en sy familie het 'n paar jaar geneem om te verf.,N
74,GW4,T111,Die skildery Charles IV van Spanje en sy familie word in Spanje gehou.,E
75,GW0,T111,Charles IV van Spanje en sy familie kan in die hoofstad van Frankryk gesien word.,C
76,GW0,T111,Charles IV van Spanje en sy familie is in die winter van 1801 voltooi.,N
77,GW0,T111,Charles IV van Spanje en sy familie het minder as 2 jaar geneem om te voltooi.,E
78,GW1,T111,Charles IV van Spanje en sy familie is in die begin van die 20ste eeu geverf.,C
79,GW1,T111,Charles IV van Spanje en sy familie was 'n bestelde skildery.,N
80,GW1,T111,Charles IV van Spanje en sy familie meet meer as 10 voet breed by sy langste punt.,E
81,GW0,T144,Jennifer Connelly is 'n Britse aktrise.,C
82,GW0,T144,Jennifer Connelly het haar bachelor's universiteit van Stanford Universiteit ontvang.,N
83,GW0,T144,Jennifer Connelly woon in dieselfde staat as waar sy gebore is.,E
84,GW1,T144,Jennifer Connelly is al meer as 35 jaar aktief in die optrede.,C
85,GW1,T144,Jennifer Connelly het meer as een kollege-graad.,N
86,GW1,T144,Jennifer Connelly is in die winter van 1970 gebore.,E
87,GW4,T144,Jennifer Connelly het nooit na 'n ivy league universiteit gegaan nie.,C
88,GW4,T144,Jennifer Connelly het haar hele lewe in New York geleef.,N
89,GW4,T144,Jennifer Connelly het net een man gehad.,E
90,GW1,T149,Johnny Cash was aktief in musiek vir minder as 45 jaar.,C
91,GW1,T149,Johnny Cash verkies om musiek te maak met Columbia oor Legacy.,N
92,GW1,T149,Johnny Cash is in die winter van 1932 gebore.,E
93,GW0,T149,Johnny Cash is in die lente van 1932 gebore.,C
94,GW0,T149,"Johnny Cash het sy tweede vrou, June Carter, oorleef.",N
95,GW0,T149,Rosanne Carter is die kinders van Johnny Cash.,E
96,GW4,T149,Johnny Cash is in die herfs van 1932 gebore.,C
97,GW4,T149,Johnny Cash was op ten minste 6 verskillende etikette gedurende sy loopbaan.,N
98,GW4,T149,Johnny Cash is nou dood.,E
99,GW1,T162,Bailiwick van Jersey het slegs een erken regionale taal.,C
100,GW1,T162,"As Stephen Dalton as luitenant-gouverneur verlaat, sal John Le Fondr? Jr. hom vervang.",N
101,GW1,T162,Bailiwick van Jersey het een amptelike taal.,E
102,GW4,T162,Die mees gesproke taal in die Bailiwick van Jersey is Frans.,C
103,GW4,T162,Die Bailiwick van Jersey volg dieselfde godsdiens as Engeland.,N
104,GW4,T162,Die Bailiwick van Jersey is onafhanklik.,E
105,GW0,T162,Polen is die kleinste etniese groep in Bailiwick van Jersey.,C
106,GW0,T162,"Die hoofkwartier van die Kerk van Engeland is in Bailiwick, Jersey.",N
107,GW0,T162,Daar is meer Franse as Asiërs mense in Bailiwick van Jersey.,E
108,GW1,T168,Farrah Abraham is aktief in haar TV loopbaan vir ongeveer 50 jaar.,C
109,GW1,T168,Farrah Abraham sal op 'n ander TV-show eindig.,N
110,GW1,T168,“Farrah Abraham” is in die somer van 1991 gebore.,E
111,GW0,T168,“Farrah Abraham” is meer as 30 jaar oud.,C
112,GW0,T168,Farrah Abraham het die meeste van haar lewe in Austin geleef.,N
113,GW0,T168,“Farrah Abraham” het op televisie verskyn.,E
114,GW4,T168,“Farrah Abraham” het vier kinders.,C
115,GW4,T168,Farrah Abraham is bekend om 'n akteur te wees.,N
116,GW4,T168,Farrah Abraham het buite Iowa geleef.,E
117,GW4,T172,Brugge het minder as 100 000 mense wat daarin woon.,C
118,GW4,T172,Die stad Brugge het vier poskode.,N
119,GW4,T172,Die area kode vir Bruges is 050.,E
120,GW22,T172,Brugge het 'n bevolking van minder as 100 000.,C
121,GW22,T172,Brugge is die mees bevolkte stad van België.,N
122,GW22,T172,Die dichtheid van Brugge is minder as 900/km2.,E
123,GW1,T172,Brugge het 'n bevolking onder 100k.,C
124,GW1,T172,"Brugge sal skyn as 'n stad, bevolking wys, in die komende jare.",N
125,GW1,T172,Daar is minder as 2500 mense per vierkante myl in Brugge.,E
126,GW0,T174,Jidenna het op vyf verskillende etikette verskyn.,C
127,GW0,T174,Jidenna woon nog steeds in Wisconsin Rapids.,N
128,GW0,T174,“Jidenna” het sedert die 1990’s opgetree.,E
129,GW4,T174,Jidenna is bekend vir hul landmusiek.,C
130,GW4,T174,Jidenna het saam met Kendrick Lamar op 'n album gewerk.,N
131,GW4,T174,Jidenna het 'n deel van haar lewe buite Wisconsin bestee.,E
132,GW1,T174,Jidenna is in die vroeë lente van 1985 gebore.,C
133,GW1,T174,Jidenna hou daarvan om musiek te maak op Wondaland oor Epic soveel as musiek label gaan.,N
134,GW1,T174,Jidenna het 'n aktiewe loopbaan vir minder as 10 jaar.,E
135,GW1,T192,Eraserhead is vrygestel in die somer van 1977.,C
136,GW1,T192,Peter Ivers het meer gehelp met die musiek op Eraserhead as Fats Waller.,N
137,GW1,T192,Eraserhead het 'n loop tyd minder as twee uur.,E
138,GW0,T192,"Eraserhead is geregisseer, geproduseer en geskryf deur verskillende mense.",C
139,GW0,T192,David Lynch het die hele film Eraserhead geteken.,N
140,GW0,T192,Eraserhead het minder as tien miljoen dollar op die kassa gehou.,E
141,GW4,T192,Eraserhead was 'n film wat in die winter van 1977 vrygestel is.,C
142,GW4,T192,David Lynch het kreatiewe beheer oor Eraserhead gehad.,N
143,GW4,T192,Hy het die film Eraserhead minder as $ 10 miljoen op die kassa gemaak.,E
144,GW0,T194,James Gregory het in minder as drie verskillende lande geleef.,C
145,GW0,T194,James Gregory het astronomie by die Universiteit van Edinburgh geleer.,N
146,GW0,T194,James Gregory het in die ander stad gesterf waar hy gebore is.,E
147,GW1,T194,James Gregory is in die lente van 1675 oorlede.,C
148,GW1,T194,James Gregory verkies astronomië teenoor wiskunde.,N
149,GW1,T194,Die winter van 1638 is toe James Gregory gebore is.,E
150,GW4,T194,"James Gregory is in Edinburgh, Skotland gebore.",C
151,GW4,T194,James Gregory het altyd in die Verenigde Koninkryk geleef.,N
152,GW4,T194,Ames Gregory is bekend vir die studie van wiskunde.,E
153,GW0,T198,Etta James het minder as 'n week na haar 74ste verjaarsdag gesterf.,C
154,GW0,T198,Etta James het die meeste van haar musiek op skakels geplaas.,N
155,GW0,T198,Jamesetta Hawkins is die geboortenaam van Etta James.,E
156,GW4,T198,Etta James is gebore op die oostkust van die VSA.,C
157,GW4,T198,Die musikant Etta James het hoofsaaklik gospel liedjies gesing.,N
158,GW4,T198,"Die musikant Etta James is in Kalifornië, VSA, oorlede.",E
159,GW1,T198,Etta James was aktief vir minder as 55 jaar.,C
160,GW1,T198,Etta James het sy hele lewe in Kalifornië geleef.,N
161,GW1,T198,Etta James het musiek op minder as 20 verskillende etikette geplaas.,E
162,GW0,T215,Charles Cros is in die lente van 1888 oorlede.,C
163,GW0,T215,Charles Cros het die faksietransmissie uitgevind.,N
164,GW0,T215,Charles Cros het na die tyd van kleurfotografie geleef.,E
165,GW4,T215,Charles Cros is in Londen gebore.,C
166,GW4,T215,Die kunstenaar Charles Cros is meestal bekend vir sy poësie.,N
167,GW4,T215,Charles Cros is oorlede toe hy 45 was.,E
168,GW1,T215,Charles Cros is in die herfs van 1888 gebore.,C
169,GW1,T215,Charles Cros verkies om monoloë te skryf oor poësie.,N
170,GW1,T215,Charles Cros is in die somer van 1888 oorlede.,E
171,GW4,T220,Faith No More is 'n band wat begin het op die oostkust van die VSA.,C
172,GW4,T220,Mr. Bungle het gehelp om Faith No More 'n paar gewildheid te kry.,N
173,GW4,T220,Die band Faith No More is bekend vir die uitvoering van eksperimentele rock.,E
174,GW14,T220,Faith No More het musiek onder slegs een label vrygestel.,C
175,GW14,T220,Bandleden van Faith No More het ander projekte tussen 1998 en 2009 gevolg.,N
176,GW14,T220,Die band is altyd bekend as Faith No More of Sharp Young Men.,E
177,GW1,T220,Faith No More is as 'n band aktief vir byna 20 jaar in totaal.,C
178,GW1,T220,Die meeste mense sal Faith No More beskryf as eksperimentele rock voordat hulle hulle funk metal noem.,N
179,GW1,T220,Faith No More het musiek op 5 platenlêers gemaak.,E
180,GW1,T224,Fist Fight is ongeveer 'n uur lank.,C
181,GW1,T224,Van Robichaux het meer van die script van Fist Fight geskryf as Evan Susser.,N
182,GW1,T224,Fist Fight gemaak onder 30 miljoen bo die begroting by die kassa.,E
183,GW0,T224,Fist Fight het in die Regency Village Theater gedebuteer nadat dit nasionaal vrygestel is.,C
184,GW0,T224,21 Laps Entertainment het die meerderheid van Fist Fight gefinansier.,N
185,GW0,T224,Die begroting van Fist Fight was byna die helfte van wat dit op die kassa gemaak het.,E
186,GW4,T224,Die film Fist Fight het in die herfs van 2017 uitgekom.,C
187,GW4,T224,Die koste van die produksie van Fist Fight was $ 23 miljoen dollar.,N
188,GW4,T224,Die film Fist Fight het minder as $ 50 miljoen op die kassa gemaak.,E
189,GW0,T252,Chris Jericho woon in dieselfde staat waar hy gebore is.,C
190,GW0,T252,Chris Jericho het drie dogters.,N
191,GW0,T252,Chris Jericho gebruik nie sy geboortenaam terwyl hy optree nie.,E
192,GW28,T252,Chris Jericho is 'n ongehuwde Amerikaanse man.,C
193,GW28,T252,Chris Jericho is 'n professionele vegter.,N
194,GW28,T252,Chris Jericho getroud in sy dertigs.,E
195,GW4,T252,Chris Jericho is 'n geskei vrou.,C
196,GW4,T252,Die vegter Chris Jericho het al sy kinders met sy vrou gehad.,N
197,GW4,T252,Die vegter Chris Jericho het in ten minste 'n paar stede geleef.,E
198,GW21,T253,Jenny Sarah Slate was altyd baie snaaks toe sy jonger was en op kollege.,C
199,GW21,T253,Jenny Slate het in verskeie films gespeel.,N
200,GW21,T253,Sy was 'n komediant wat live op die Appolo optree.,E
201,GW28,T253,Jenny Slate is 'n Suid-Afrikaanse komediant.,C
202,GW28,T253,Jenny Slate het sedert kollege 'n stand-up komedie gedoen.,N
203,GW28,T253,Jenny Slate is getroud na kollege.,E
204,GW4,T253,Jenny Slate het begin komedie toe sy 32 jaar oud was.,C
205,GW4,T253,Die aktrise Jenny Slate het toekennings vir haar optrede gewen.,N
206,GW4,T253,Die aktrise Jenny Slate is in Massachusetts gebore.,E
207,GW21,T255,Justin Bieber het op die internet begin en het 'n marjo internasionale filmprodusent geword.,C
208,GW21,T255,Justin Bieber het nie 'n baie gelukkige kinderjare gehad nie.,N
209,GW21,T255,Justin Bieber is nie 'n Amerikaanse burger nie.,E
210,GW28,T255,Justin Bieber is in Londen in die Verenigde Koninkryk gebore.,C
211,GW28,T255,Justin Bieber is opgevoed deur 'n enkele ouer en het geen susters nie.,N
212,GW28,T255,Justin Bieber is 'n Kanadese rapper.,E
213,GW4,T255,Justin Bieber het met Hailey Baldwin getroud toe hy 25 was.,C
214,GW4,T255,Justin Bieber het toekennings vir sy drumming gekry.,N
215,GW4,T255,“Justin Bieber” het in die Verenigde State optree.,E
216,GW0,T259,Corinth is geleë in Noord-Europa.,C
217,GW0,T259,Die Peloponnesus is die grootste administratiewe streek van Griekeland.,N
218,GW0,T259,Korinthe se laagste hoogte is op seevlak.,E
219,GW33,T259,Corinth is 'n gemeente in die regio Corinthia in Frankryk,C
220,GW33,T259,Peloponnesus is die administratiewe streek van Korinthe.,N
221,GW33,T259,Griekenland is 'n land,E
222,GW28,T259,Corinth is 'n gebied wat in die nie-mediterrane streek geleë is.,C
223,GW28,T259,Corinth is 'n skaars bevolkte gemeente.,N
224,GW28,T259,Corinth het 'n plaaslike eenheid genaamd Corinthia.,E
225,GW4,T263,Joe Biden het slegs een vrou in sy lewe.,C
226,GW4,T263,“Joe Biden” het altyd in die Verenigde State geleef.,N
227,GW4,T263,Joe Biden was 'n lid van die Demokratiese Party.,E
228,GW28,T263,Joe Biden is 'n Amerikaanse akteur.,C
229,GW28,T263,“Joe Biden” was die Amerikaanse vise-president.,N
230,GW28,T263,Joe Biden was altyd 'n onafhanklike een of ander tyd in sy loopbaan.,E
231,GW0,T263,Joe Biden se eerste vrou is oorlede nadat hulle geskei is.,C
232,GW0,T263,Joe Biden het 'n politieke kantoor in sy geboorteland gehou.,N
233,GW0,T263,Joe Biden het 'n BA-graad van die Universiteit van Delaware ontvang.,E
234,GW14,T314,"Die hoogte van die berg Tabwemasana is meer as 6,165 voet.",C
235,GW14,T314,Vanuatu het die hoogste berg in al die Nuwe Hebride.,N
236,GW14,T314,Die berg Tabwemasana is deel van 'n archipel.,E
237,GW28,T314,Espiritu Santo is 'n enkele eiland.,C
238,GW28,T314,Espiritu Santo is die grootste eiland in die archipel.,N
239,GW28,T314,Espiritu Santo is naby aan ander landmasse.,E
240,GW4,T314,Espiritu Santo het die berg Tabwemasana daarop wat minder as 6000 voet hoog is.,C
241,GW4,T314,Espiritu Santo het mense wat daarin leef vir eeue gehad.,N
242,GW4,T314,Die eiland Espiritu Santo is bo die see.,E
243,GW4,T318,Die skildery Verklaring van Onafhanklikheid is kleiner as 100 vierkante voet in grootte.,C
244,GW4,T318,Die skildery Verklaring van Onafhanklikheid het meer as drie jaar geneem om te maak.,N
245,GW4,T318,Die skildery Verklaring van Onafhanklikheid is in die Amerikaanse hoofstad geplaas.,E
246,GW28,T318,Die Verklaring van Onafhanklikheid is al minder as 20 jaar in die nasie se hoofstad beskikbaar.,C
247,GW28,T318,Die Verklaring van Onafhanklikheid moet deur twee manne gedra word.,N
248,GW28,T318,Die Verklaring van Onafhanklikheid is in die Rotunda geplaas 'n paar jaar nadat dit in opdracht gestel is.,E
249,GW0,T318,John Trumbull se Verklaring van Onafhanklikheid hang in die Rotunda vir minder as 150 jaar.,C
250,GW0,T318,Die Verklaring van Onafhanklikheid is een van die grootste skilderye in die Amerikaanse Capitol-gebou.,N
251,GW0,T318,"Die Verklaring van Onafhanklikheid is twee jaar nadat dit in besit is, verkoop.",E
252,GW27,T324,Buffalo Springfield is voortdurend op die opname.,C
253,GW27,T324,Buffalo Springfield het hul grootste sukses gehad met Atlantic rekords.,N
254,GW27,T324,Buffalo Springfield het opgeteken op Atco en Atlantic byna sedert 1966 met 'n onderbreking.,E
255,GW14,T324,Geen folk rock band kom van Los Angeles nie.,C
256,GW14,T324,"Poco het musiek saam met Crosby, Stills, Nash & Young onder die Atlantic label vrygestel.",N
257,GW14,T324,Buffalo Springfield het 'n paar aktiwiteit in die 21ste eeu gehad.,E
258,GW28,T324,"Buffalo Springfield werk met verskeie akte, maar slegs een etiket.",C
259,GW28,T324,Buffalo Springfield het elke dag gespeel toe hulle aktief was.,N
260,GW28,T324,Buffalo Springfield gespeel vir 'n tydperk in die 20ste eeu.,E
261,GW28,T327,“Charles Macintosh” het nooit in Skotland geleef nie,C
262,GW28,T327,Charles Macintosh was 'n opgeleide man.,N
263,GW28,T327,Charles Macintosh het die waterdienste reënkoek in sy vyftigs uitgevind.,E
264,GW4,T327,Charles Macintosh was nooit in staat om weefsels waterdienstig te maak nie.,C
265,GW4,T327,Charles Macintosh wou 'n ingenieur van jongs af wees.,N
266,GW4,T327,Charles Macintosh is in Skotland gebore en oorlede.,E
267,GW27,T327,Charles Macintosh is in Skotland en Engeland gebore en gesterf.,C
268,GW27,T327,Charles Macintosh het die waterdienste reënskoot in Skotland uitgevind.,N
269,GW27,T327,Charles Macintosh is in dieselfde lande gebore en gesterf.,E
270,GW32,T329,Johannes Gutenberg is op 3 Februarie 1468 gebore.,C
271,GW32,T329,Johannes Gutenberg het baie dinge in hul lewe uitgevind.,N
272,GW32,T329,Johannes Gutenberg het minder as sewentig jaar oud geleef.,E
273,GW28,T329,Johannes Gutenberg het slegs een besigheid gehad.,C
274,GW28,T329,Johannes Gutenberg is verantwoordelik vir baie uitvindings.,N
275,GW28,T329,Johannes Gutenberg het 'n rukkie tyd in die Heilige Romeinse Ryk gebly.,E
276,GW4,T329,Johannes Gutenberg is bekend as 'n graaf wat die Heilige Romeinse Ryk gestig het.,C
277,GW4,T329,Johannes Gutenberg het hul hele lewe in die Heilige Romeinse Ryk bestee.,N
278,GW4,T329,Johannes Gutenberg het oorlede toe hulle in hul 60's was.,E
279,GW28,T343,Kamelot speel slegs power metal vir verskeie etikette.,C
280,GW28,T343,“Kamelot” bestaan uit vier lede.,N
281,GW28,T343,Die webwerf van Kamelot is kamelot.com,E
282,GW27,T343,Kamelot het sy oorsprong in Florida en is sedert die 1980's professioneel aktief.,C
283,GW27,T343,Kamelot is die enigste heavy metal band van Tampa.,N
284,GW27,T343,Kamelot voer minder genres as etikette wat hulle gehad het.,E
285,GW0,T343,Kamelot is al minder as twintig jaar op die toneel.,C
286,GW0,T343,Kamelot het die meeste van hul werk op Napalm-rekords vrygestel.,N
287,GW0,T343,Kamelot is 'n metal band van die Amerikaanse oostkust.,E
288,GW28,T346,Joanna Newsom het 'n kinderlose huwelik.,C
289,GW28,T346,Joanna Newsom het begin sing voordat sy akteurskap begin het.,N
290,GW28,T346,Joanna Newsom is getroud en werk.,E
291,GW14,T346,Joanna Newsom is gebore op die Oos-Kust van die Verenigde State.,C
292,GW14,T346,Nervous Cop het musiek onder die Drag City label vrygestel.,N
293,GW14,T346,Joanna Newsom het in musiek gewerk voordat hulle getroud is.,E
294,GW0,T346,Joanna Newsom is al minder as vyf jaar getroud.,C
295,GW0,T346,Joanna Newsom en Andy Samberg het 'n dogter.,N
296,GW0,T346,Joanna Newsom leef in 'n ander staat wat sy gebore is.,E
297,GW0,T353,Jena Malone woon nie in die staat waarin sy gebore is nie.,C
298,GW0,T353,Jena Malone het meer geld as 'n musikus as 'n aktrise gemaak.,N
299,GW0,T353,Jenna Malone het begin optree in haar leiers.,E
300,GW28,T353,Jena Malone is 'n Britse entertainer.,C
301,GW28,T353,“Jena Malone” het in Nevada grootgeword.,N
302,GW28,T353,Jena Malone is sedert haar tienerjare aktief.,E
303,GW4,T353,Jena Malone is bekend vir sy sing in die Verenigde State.,C
304,GW4,T353,Jena Malone is 'n fotograaf die meeste van haar lewe.,N
305,GW4,T353,Die aktrise Jena Malone het kinders.,E
306,GW4,T355,Jeff Buckley het gesterf toe hulle net 20 jaar oud was.,C
307,GW4,T355,Jeff Buckley het op 'n punt in hul lewe van Kalifornië na Tennessee verhuis.,N
308,GW4,T355,"Jeff Buckley is in Kalifornië, Amerika gebore.",E
309,GW33,T355,"Jeff Buckley is 'n sanger, sangskrywer en gitarist wat op sy ouderdom van 20 oorlede is.",C
310,GW33,T355,"Jeff Buckley word gespeel in THe A.M, Shinehead en Goonsters",N
311,GW33,T355,Jeff Buckley is op 29 Mei 1997 oorlede.,E
312,GW28,T355,Jeff Buckley is 'n Amerikaanse uitvinder.,C
313,GW28,T355,“Jeff Buckley” het gitaar gespeel.,N
314,GW28,T355,Jeff Buckley het sy loopbaan in sy twintigste begin.,E
315,GW28,T363,Evan Spiegel het nie 'n familie nie.,C
316,GW28,T363,Evan Spiegel is jonger as sy vrou.,N
317,GW28,T363,Evan Spiegel is in 2017 getroud.,E
318,GW0,T363,Evan Spiegel leef in 'n ander staat waar hy gebore is.,C
319,GW0,T363,Evan Spiegel is afgestudeer met 'n mastersgraad van Stanford Universiteit.,N
320,GW0,T363,Evan Spiegel is getroud.,E
321,GW14,T363,Evan Spiegel is getroud voordat hy 20 jaar oud was.,C
322,GW14,T363,Evan Spiegel het Miranda Kerr by Snap se hoofkwartier ontmoet.,N
323,GW14,T363,Evan Spiegel het ten minste een uitvoerende posisie gehou.,E
324,GW28,T364,Hayley Williams is 'n Europese musikant.,C
325,GW28,T364,Hayley Williams besit verskeie besighede.,N
326,GW28,T364,Hayley Williams het haar loopbaan in haar twintigste begin.,E
327,GW0,T364,Hayley Williams en Chad Gilbert werk tans saam.,C
328,GW0,T364,Hayley Williams het die groep Paramore begin.,N
329,GW0,T364,Hayley Williams kan meer as een instrument speel.,E
330,GW27,T364,Hayley Nichole Williams is bekend vir dans.,C
331,GW27,T364,Hayley Nichole Williams is 'n lid van Paramore.,N
332,GW27,T364,Hayley Nichole Williams het haar musiek in 'n ander stad ontstaan waar sy gebore is.,E
333,GW27,T366,John Graham Mellor is in Turkye oorlede.,C
334,GW27,T366,John Graham Mellor het in 1970 by die CBS-label geteken.,N
335,GW27,T366,John Graham Mellor speel minder instrumente as die aantal etikette vir wat hy gewerk het.,E
336,GW14,T366,Joe Strummer was aktief in die sportbedryf vir meer as drie dekades.,C
337,GW14,T366,Joe Strummer het sy naam verander nadat hy 'n gitaarspeler geword het.,N
338,GW14,T366,John Mellor woon nie meer in Turkye nie.,E
339,GW28,T366,Joe Strummer was 'n Engelse musikus met 'n dekade se loopbaan.,C
340,GW28,T366,Joe Strummer was 'n solo kunstenaar vir 'n kort tydperk.,N
341,GW28,T366,Joe Strummer het sy loopbaan voor sy twintigste begin.,E
342,GW14,T386,In die hart van die see het geld op die kassa gemaak.,C
343,GW14,T386,Dan Hanley en Anthony Dod Mantle het meer as een film saam gewerk.,N
344,GW14,T386,In die hart van die see is in slegs een taal gefilm.,E
345,GW28,T386,In die hart van die see is 'n Mexikaanse film.,C
346,GW28,T386,In the Heart of the Sea is die inspirasie vir die boek Moby Dick.,N
347,GW28,T386,In die hart van die see het 'n verlies op die boks.,E
348,GW4,T386,In die hart van die see het geld op die kassa gemaak.,C
349,GW4,T386,Ron Howard het jare lank gewerk aan In the Heart of the Sea.,N
350,GW4,T386,In die hart van die see is 'n verhaal van Rick Jaffa Amanda Silver.,E
351,GW28,T414,Charlotte Gainsbourg is 'n Europese danser.,C
352,GW28,T414,Charlotte Gainsbourg het twee dogters en 'n seun.,N
353,GW28,T414,Charlotte Gainsbourg is sedert haar tienerjare aktief.,E
354,GW4,T414,Die aktrise Charlotte Gainsbourg was optree nadat hulle Yvan Attal ontmoet het.,C
355,GW4,T414,Die aktrise Charlotte Gainsbourg praat meer Frans as hulle Engels.,N
356,GW4,T414,Die aktrise Charlotte Gainsbourg het in Europa grootgeword.,E
357,GW27,T414,Charlotte Lucy Gainsbourg is 'n Britse en Amerikaanse vrou.,C
358,GW27,T414,Charlotte Lucy Gainsbourg se halfbroers is ook betrokke by vermaak.,N
359,GW27,T414,Charlotte Lucy Gainsbourg is verloof nadat sy in die showbedryf ingegaan het.,E
360,GW27,T418,John Stephen Goodman is 'n akteur uit Boston.,C
361,GW27,T418,John Stephen Goodman se vrou is uit Louisiana.,N
